Fetching metadata from peers/trackers...
Metadata OK: VGG-Face2, 40.25 GB, 14 files
/home/b2/projects/zavrsni/face_recognition/datasets/download_vggface2.py:39: DeprecationWarning: files() is deprecated
  fp = info.files().file_path(i)
Selected files: ['VGG-Face2/README.md', 'VGG-Face2/README.txt', 'VGG-Face2/data/train_list.txt', 'VGG-Face2/data/vggface2_train.tar.gz', 'VGG-Face2/meta/bb_landmark.tar.gz', 'VGG-Face2/meta/class_overlap_vgg1_2.txt', 'VGG-Face2/meta/identity_meta.csv', 'VGG-Face2/meta/train_list.txt', 'VGG-Face2/samples_0.png']
0% | 0.00/40.25 GB | DL 0.07 MB/s | peers 2 | state downloading
1% | 0.59/38.22 GB | DL 44.25 MB/s | peers 5 | state downloading
2% | 0.84/38.22 GB | DL 48.90 MB/s | peers 5 | state downloading
3% | 1.35/38.22 GB | DL 53.25 MB/s | peers 4 | state downloading
4% | 1.61/38.22 GB | DL 54.25 MB/s | peers 4 | state downloading
5% | 2.16/38.22 GB | DL 57.01 MB/s | peers 4 | state downloading
6% | 2.41/38.22 GB | DL 54.10 MB/s | peers 4 | state downloading
7% | 2.70/38.22 GB | DL 57.28 MB/s | peers 4 | state downloading
7% | 2.96/38.22 GB | DL 55.47 MB/s | peers 4 | state downloading
8% | 3.23/38.22 GB | DL 56.01 MB/s | peers 5 | state downloading
9% | 3.48/38.22 GB | DL 54.40 MB/s | peers 5 | state downloading
10% | 4.02/38.22 GB | DL 52.25 MB/s | peers 5 | state downloading
11% | 4.27/38.22 GB | DL 52.00 MB/s | peers 6 | state downloading
12% | 4.79/38.22 GB | DL 54.40 MB/s | peers 6 | state downloading
13% | 5.05/38.22 GB | DL 54.46 MB/s | peers 6 | state downloading
14% | 5.60/38.22 GB | DL 56.41 MB/s | peers 6 | state downloading
15% | 5.86/38.22 GB | DL 53.67 MB/s | peers 5 | state downloading
16% | 6.16/38.22 GB | DL 58.05 MB/s | peers 5 | state downloading
17% | 6.72/38.22 GB | DL 57.78 MB/s | peers 5 | state downloading
18% | 7.01/38.22 GB | DL 59.81 MB/s | peers 5 | state downloading
19% | 7.29/38.22 GB | DL 58.30 MB/s | peers 5 | state downloading
20% | 7.81/38.22 GB | DL 56.47 MB/s | peers 5 | state downloading
21% | 8.08/38.22 GB | DL 54.52 MB/s | peers 5 | state downloading
22% | 8.63/38.22 GB | DL 56.59 MB/s | peers 5 | state downloading
